trade_date,pred_up_prob,pred_ret,true_up,true_ret
2025-06-26,0.4418613612651825,0.0049411579966545105,1.0,0.013487475924193859
2025-06-27,0.44259124994277954,-0.0017951130867004395,1.0,0.0038022813387215137
2025-06-30,0.451699823141098,-0.0022356808185577393,1.0,0.018939394503831863
2025-07-01,0.46157628297805786,-0.005437880754470825,1.0,0.00929368007928133
2025-07-02,0.46861952543258667,-0.0018598958849906921,0.0,-0.007366482634097338
2025-07-03,0.47478780150413513,-0.0014361962676048279,0.0,-0.027829313650727272
2025-07-04,0.4737403690814972,-0.0038833171129226685,1.0,0.015267175622284412
2025-07-07,0.4769913852214813,-0.00467083603143692,1.0,0.0357142873108387
2025-07-08,0.4809088110923767,-0.00036973506212234497,0.0,-0.012704174034297466
2025-07-09,0.48807933926582336,0.0005655139684677124,0.0,-0.009191176854074001
2025-07-10,0.4908817708492279,-0.00039011985063552856,1.0,0.06307977437973022
2025-07-11,0.48848390579223633,-0.003626801073551178,1.0,0.0628272220492363
2025-07-14,0.4972878694534302,0.002482965588569641,0.0,-0.07060755044221878
2025-07-15,0.49242544174194336,-0.002085275948047638,0.0,-0.012367491610348225
2025-07-16,0.501044750213623,-0.0027126967906951904,1.0,0.001788908732123673
2025-07-17,0.4937727153301239,-0.0016957968473434448,1.0,0.0053571430034935474
2025-07-18,0.49531686305999756,0.0057402923703193665,0.0,-0.008880994282662868
2025-07-21,0.48916685581207275,0.007048085331916809,0.0,-0.017921147868037224
2025-07-22,0.4875781834125519,0.00580943375825882,0.0,-0.007299270015209913
2025-07-23,0.49508631229400635,0.02899555116891861,1.0,0.020220588892698288
2025-07-24,0.5010091066360474,-0.00036884844303131104,1.0,0.009009009227156639
2025-07-25,0.50260329246521,0.0008793473243713379,1.0,0.010714286006987095
2025-07-28,0.503173828125,-0.0006781667470932007,0.0,-0.019434629008173943
2025-07-29,0.5034662485122681,-0.0029586851596832275,1.0,0.0018018018454313278
2025-07-30,0.5379290580749512,0.009239695966243744,0.0,-0.014388489536941051
2025-07-31,0.563089907169342,0.0045053064823150635,1.0,0.012773722410202026
2025-08-01,0.5390975475311279,0.013440631330013275,0.0,0.0
2025-08-04,0.5476388335227966,0.0157913938164711,1.0,0.010810811072587967
2025-08-05,0.5578898191452026,0.016315236687660217,1.0,0.005347593687474728
2025-08-06,0.5644856095314026,0.01310894638299942,0.0,-0.003546099178493023
2025-08-07,0.5795982480049133,0.013539083302021027,1.0,0.0017793594161048532
2025-08-08,0.578900158405304,0.010915398597717285,1.0,0.023090586066246033
2025-08-11,0.5760629773139954,0.008983254432678223,0.0,-0.0069444444961845875
2025-08-12,0.5908827185630798,0.009477324783802032,0.0,-0.00699300691485405
2025-08-13,0.5912581086158752,0.009117595851421356,0.0,-0.03873239457607269
2025-08-14,0.5933149456977844,0.005478993058204651,1.0,0.0018315018387511373
2025-08-15,0.5933865308761597,0.005328834056854248,0.0,-0.010968921706080437
2025-08-18,0.5957521200180054,0.0008008405566215515,1.0,0.02218114584684372
2025-08-19,0.597838819026947,0.0030091479420661926,1.0,0.012658228166401386
2025-08-20,0.600078284740448,0.0020058155059814453,1.0,0.0035714285913854837
2025-08-21,0.6041948795318604,0.0013545602560043335,0.0,-0.0017793594161048532
2025-08-22,0.6096768975257874,0.006278097629547119,0.0,-0.023172905668616295
2025-08-25,0.6142338514328003,0.006888687610626221,1.0,0.009124087169766426
2025-08-26,0.661379873752594,-0.016422346234321594,0.0,-0.052441228181123734
2025-08-27,0.42275068163871765,0.023994453251361847,0.0,-0.017175571992993355
2025-08-28,0.4748257100582123,0.001931607723236084,0.0,-0.009708737954497337
2025-08-29,0.47762370109558105,-0.00022826343774795532,1.0,0.019607843831181526
2025-09-01,0.47437626123428345,0.0031087175011634827,1.0,0.003846153849735856
2025-09-02,0.4917477071285248,0.011667594313621521,0.0,-0.028735632076859474
2025-09-03,0.5613211393356323,0.03576449304819107,1.0,0.01577909290790558
2025-09-04,0.5593228936195374,0.034215591847896576,1.0,0.00582524249330163
2025-09-05,0.568257749080658,0.036072760820388794,1.0,0.023166023194789886
2025-09-08,0.5673866868019104,0.03414393961429596,0.0,0.0
2025-09-09,0.5659911632537842,0.03166508674621582,1.0,0.0018867924809455872
2025-09-10,0.5666648149490356,0.03378157317638397,1.0,0.0037664782721549273
2025-09-11,0.5657618641853333,0.028782114386558533,0.0,-0.0037523452192544937
2025-09-12,0.5696579217910767,0.03023689240217209,0.0,0.0
2025-09-15,0.5704939365386963,0.02575129270553589,1.0,0.015065913088619709
2025-09-16,0.5663278102874756,0.025332771241664886,0.0,-0.003710575168952346
2025-09-17,0.5648937225341797,0.020437031984329224,0.0,-0.01862197369337082
2025-09-18,0.581375777721405,0.029650740325450897,1.0,0.01138519961386919
2025-09-19,0.5756658315658569,0.015541516244411469,1.0,0.09943714737892151
2025-09-22,0.6194913387298584,0.007705628871917725,1.0,0.10068259388208389
2025-09-23,0.6645310521125793,-0.009315289556980133,1.0,0.10077519714832306
2025-09-24,0.7009260058403015,-0.0523117370903492,1.0,0.10000000149011612
2025-09-25,0.18389907479286194,-0.01190253347158432,1.0,0.09987195581197739
2025-09-26,0.1862214207649231,-0.00037263333797454834,1.0,0.10011641681194305
2025-09-29,0.22692760825157166,0.04093065857887268,1.0,0.10052909702062607
2025-09-30,0.22306428849697113,0.041219718754291534,0.0,-0.10000000149011612
2025-10-09,0.2588094174861908,0.0491865873336792,0.0,-0.10042735189199448
2025-10-10,0.28627943992614746,0.029211804270744324,0.0,0.0
