date,股票代码,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover,ma5,ma10,ma20,ma60,price_vs_ma5,price_vs_ma20,rsi,rsi_overbought,rsi_oversold,macd,macd_signal,macd_hist,boll_upper,boll_middle,boll_lower,boll_width,volume_ma5,volume_ma10,volume_ratio,volume_relative,boll_position,boll_break_upper,boll_break_lower,kdj_k,kdj_d,kdj_j,obv,cci
2025-09-11,002115,13.75,14.2,14.85,13.4,3990527,5661963610.15,10.5,2.82,0.39,53.05,12.754,12.020999999999997,10.401499999999999,,11.337619570330874,36.51877133105803,79.91532636998332,70,30,,,,14.050654833656713,10.401499999999999,6.752345166343284,7.298309667313429,3588589.6,3671022.4,1.112004281570676,1.112004281570676,1.0204629802174812,1,0,85.63826222168603,78.39809460607445,100.1185974529092,28389451.0,160.57694009379702
2025-09-12,002115,14.09,13.53,14.4,13.4,3017568,4158727134.19,7.04,-4.72,-0.67,40.12,13.25,12.326999999999998,10.6585,,2.1132075471698064,26.94093915654172,72.14343096496664,70,30,,,,14.426843269926458,10.6585,6.890156730073542,7.536686539852916,3571313.2,3630637.8,0.8449463351464105,0.8449463351464105,0.8810029758854796,0,0,83.19187242798354,84.88105101942942,79.81351524509179,25371883.0,125.69510418645879
2025-09-15,002115,12.98,12.76,13.37,12.53,2451670,3149038974.49,6.21,-5.69,-0.77,32.59,13.370000000000001,12.450999999999999,10.864999999999998,,-4.5624532535527385,17.44132535664981,64.39283621490029,70,30,,,,14.618683524219925,10.864999999999998,7.111316475780072,7.507367048439853,3461064.0,3464827.9,0.7083573143981158,0.7083573143981158,0.7524187225391905,0,0,59.00205761316872,75.94406408761272,25.118044664280745,22920213.0,66.62885019002758
2025-09-16,002115,12.5,12.3,12.65,12.2,2037572,2516558482.2,3.53,-3.61,-0.46,27.09,13.320000000000002,12.581,11.0485,,-7.6576576576576665,11.327329501742318,60.22987836767504,70,30,,,,14.704761888869552,11.0485,7.3922381111304505,7.312523777739101,3052664.6,3272680.5,0.6674732625392256,0.6674732625392256,0.6711447426413621,0,0,34.83796296296297,59.0106310013717,-13.507373113854484,20882641.0,27.410670582476758
2025-09-17,002115,12.36,12.06,12.53,12.02,1861072,2279267205.19,4.15,-1.95,-0.24,24.74,12.970000000000002,12.642,11.216,,-7.016191210485751,7.524964336661923,58.11873041114829,70,30,1.1800327139903874,1.1741599619662615,0.00587275202412596,14.732665466034543,11.216,7.699334533965455,7.033330932069088,2671681.8,3134060.2,0.6965919369589597,0.6965919369589597,0.6200000409694515,0,0,13.434105483575467,35.75804201990234,-31.21376758907828,19021569.0,4.0109550313632
2025-09-18,002115,11.91,11.85,12.25,11.66,1839107,2203243171.88,4.89,-1.74,-0.21,24.45,12.500000000000002,12.626999999999999,11.377999999999998,,-5.200000000000016,4.1483564774125625,56.26048572807455,70,30,1.0724541800676661,1.1538188055865424,-0.08136462551887624,14.692227511804237,11.377999999999998,8.06377248819576,6.628455023608478,2241397.8,2914993.7,0.8205178928970128,0.8205178928970128,0.5712081470446561,0,0,6.602022488171304,18.2913636449032,-16.776659825292487,17182462.0,-29.088929011549567
2025-09-19,002115,11.79,11.64,12.0,11.48,1281976,1503693904.18,4.39,-1.77,-0.21,17.04,12.122000000000002,12.685999999999998,11.526499999999999,,-3.976241544299629,0.9846874593328586,54.387766423817375,70,30,0.9591951671074987,1.1148940778907337,-0.15569891078323495,14.599441750180118,11.526499999999999,8.45355824981988,6.145883500360238,1894279.4,2732796.3,0.6767618335500033,0.6767618335500033,0.5184676458630153,0,0,5.604447532263016,8.54685850133655,-0.28037440588405005,15900486.0,-52.71861238429032
2025-09-22,002115,11.58,11.53,11.62,11.36,1037452,1189198729.7,2.23,-0.95,-0.11,13.79,11.876000000000001,12.623,11.654,,-2.913438868305842,-1.0640123562725292,53.3853472711831,70,30,0.8507535453625508,1.062065971385097,-0.2113124260225463,14.496712788869086,11.654,8.811287211130914,5.685425577738172,1611435.8,2536249.9,0.643805977253329,0.643805977253329,0.47818984730263037,0,0,9.526069869531652,7.244179963321944,14.089849681951065,14863034.0,-71.47204145577255
2025-09-23,002115,11.58,11.1,11.61,10.8,1230001,1361532969.61,7.03,-3.73,-0.43,16.35,11.636000000000003,12.477999999999998,11.757499999999999,,-4.606393949810958,-5.5921752073144715,49.5414046037818,70,30,0.7217949694044012,0.9940117709889579,-0.27221680158455663,14.350273611405388,11.757499999999999,9.164726388594609,5.185547222810779,1449921.6,2251293.1,0.8483224196397929,0.8483224196397929,0.37320528157419675,0,0,12.994981167226536,9.375166189673687,20.234611122332236,13633033.0,-98.60590928006661
2025-09-24,002115,10.95,11.23,11.25,10.83,900692,999505604.04,3.78,1.17,0.13,11.97,11.470000000000002,12.219999999999999,11.886499999999998,,-2.092414995640819,-5.523072393050922,50.69721308926587,70,30,0.6229038347431235,0.919790183739791,-0.29688634899666755,14.072878512517931,11.886499999999998,9.700121487482065,4.372757025035867,1257845.6,1964763.7,0.7160592683235525,0.7160592683235525,0.3498658863867212,0,0,20.058169149954743,14.193073395570929,31.78836065872237,14533725.0,-97.44733156104397
2025-09-25,002115,11.18,11.01,11.21,11.0,731969,811078323.44,1.87,-1.96,-0.22,9.73,11.302000000000001,11.901,11.960999999999997,,-2.583613519731035,-7.950840230749915,48.66561879989651,70,30,0.5207765487863583,0.8399874567491045,-0.3192109079627462,13.908212366435706,11.960999999999997,10.013787633564288,3.8944247328714177,1036418.0,1638907.9,0.7062488301052278,0.7062488301052278,0.255804755456447,0,0,21.49873762540692,18.183962647529352,28.128287581162063,13801756.0,-98.69731800766299
2025-09-26,002115,10.94,10.62,10.94,10.62,794834,853407898.72,2.91,-3.54,-0.39,10.57,11.098,11.61,11.968499999999997,,-4.307082357181487,-11.267076074696062,45.20712948382761,70,30,0.4037164068112702,0.7527332467615376,-0.34901683995026744,13.893714533500129,11.968499999999997,10.043285466499865,3.850429067000263,938989.6,1416634.5,0.8464779588613123,0.8464779588613123,0.14977929042838653,0,0,15.71839080459769,19.091765859986403,8.971640693820262,13006922.0,-111.91719336814145
2025-09-29,002115,10.61,10.77,10.82,10.56,638959,683785710.14,2.45,1.41,0.15,8.49,10.946000000000002,11.410999999999998,11.930999999999997,,-1.6078932943541193,-9.730952979632873,46.773881703709684,70,30,0.3193676755565864,0.6660601325205474,-0.346692456963961,13.917926269392039,11.930999999999997,9.944073730607956,3.973852538784083,859291.0,1235363.4,0.7435886096793752,0.7435886096793752,0.20784019067923445,0,0,12.499999999999966,16.57237614333481,4.355247713330279,13645881.0,-96.64127078976182
2025-09-30,002115,10.97,11.23,11.59,10.87,1754645,1978953123.47,6.69,4.27,0.46,23.33,10.972,11.303999999999998,11.942499999999997,,2.351440029165156,-5.96608750261668,51.36652604515487,70,30,0.2863381262766307,0.5901157312717641,-0.3037776049951334,13.910309696083509,11.942499999999997,9.974690303916486,3.9356193921670233,964219.8,1207070.7,1.8197562423007698,1.8197562423007698,0.3189611522348757,0,0,28.349514563106798,18.855968455901436,47.336606777517524,15400526.0,-52.34431353690796
