002171.SZ,20251030,10.5,0.0
002171.SZ,20251030,10.4,0.0
002171.SZ,20251030,10.3,0.01
002171.SZ,20251030,10.2,0.01
002171.SZ,20251030,10.1,0.01
002171.SZ,20251030,10.0,0.03
002171.SZ,20251030,9.9,0.04
002171.SZ,20251030,9.8,0.03
002171.SZ,20251030,9.7,0.03
002171.SZ,20251030,9.6,0.03
002171.SZ,20251030,9.5,0.03
002171.SZ,20251030,9.4,0.03
002171.SZ,20251030,9.3,0.01
002171.SZ,20251030,9.2,0.01
002171.SZ,20251030,9.1,0.01
002171.SZ,20251029,14.4,0.29
002171.SZ,20251029,14.3,2.35
002171.SZ,20251029,14.2,2.24
002171.SZ,20251029,14.1,3.87
002171.SZ,20251029,14.0,5.58
002171.SZ,20251029,13.9,7.29
002171.SZ,20251029,13.8,9.01
002171.SZ,20251029,13.7,10.39
002171.SZ,20251029,13.6,9.72
002171.SZ,20251029,13.5,7.91
002171.SZ,20251029,13.4,6.02
002171.SZ,20251029,13.3,4.15
002171.SZ,20251029,13.2,2.62
002171.SZ,20251029,13.1,2.93
002171.SZ,20251029,13.0,3.57
002171.SZ,20251029,12.9,4.02
002171.SZ,20251029,12.8,3.32
002171.SZ,20251029,12.7,2.48
002171.SZ,20251029,12.6,1.95
002171.SZ,20251029,12.5,1.49
002171.SZ,20251029,12.4,1.5
002171.SZ,20251029,12.3,1.59
002171.SZ,20251029,12.2,1.64
002171.SZ,20251029,12.1,1.34
002171.SZ,20251029,12.0,0.99
002171.SZ,20251029,11.9,0.64
002171.SZ,20251029,11.8,0.37
002171.SZ,20251029,11.7,0.18
002171.SZ,20251029,11.6,0.1
002171.SZ,20251029,11.5,0.05
002171.SZ,20251029,11.4,0.03
002171.SZ,20251029,11.3,0.02
002171.SZ,20251029,11.2,0.0
002171.SZ,20251029,11.1,0.0
002171.SZ,20251029,11.0,0.0
002171.SZ,20251029,10.9,0.0
002171.SZ,20251029,10.8,0.0
002171.SZ,20251029,10.7,0.0
002171.SZ,20251029,10.6,0.0
002171.SZ,20251029,10.5,0.0
002171.SZ,20251029,10.4,0.0
002171.SZ,20251029,10.3,0.01
002171.SZ,20251029,10.2,0.01
002171.SZ,20251029,10.1,0.02
002171.SZ,20251029,10.0,0.04
002171.SZ,20251029,9.9,0.06
002171.SZ,20251029,9.8,0.04
002171.SZ,20251029,9.7,0.04
002171.SZ,20251029,9.6,0.04
002171.SZ,20251029,9.5,0.04
002171.SZ,20251029,9.4,0.04
002171.SZ,20251029,9.3,0.02
002171.SZ,20251029,9.2,0.01
002171.SZ,20251029,9.1,0.01
002171.SZ,20251028,14.2,0.15
002171.SZ,20251028,14.1,1.2
002171.SZ,20251028,14.0,2.38
002171.SZ,20251028,13.9,3.58
002171.SZ,20251028,13.8,4.77
002171.SZ,20251028,13.7,5.96
002171.SZ,20251028,13.6,6.91
002171.SZ,20251028,13.5,6.36
002171.SZ,20251028,13.4,5.64
002171.SZ,20251028,13.3,4.95
002171.SZ,20251028,13.2,4.57
002171.SZ,20251028,13.1,5.48
002171.SZ,20251028,13.0,6.68
002171.SZ,20251028,12.9,7.54
002171.SZ,20251028,12.8,6.22
002171.SZ,20251028,12.7,4.65
002171.SZ,20251028,12.6,3.66
002171.SZ,20251028,12.5,2.79
002171.SZ,20251028,12.4,2.81
002171.SZ,20251028,12.3,2.97
002171.SZ,20251028,12.2,3.07
002171.SZ,20251028,12.1,2.52
002171.SZ,20251028,12.0,1.85
002171.SZ,20251028,11.9,1.21
002171.SZ,20251028,11.8,0.7
002171.SZ,20251028,11.7,0.33
002171.SZ,20251028,11.6,0.18
002171.SZ,20251028,11.5,0.09
002171.SZ,20251028,11.4,0.05
002171.SZ,20251028,11.3,0.03
002171.SZ,20251028,11.2,0.0
002171.SZ,20251028,11.1,0.0
002171.SZ,20251028,11.0,0.0
002171.SZ,20251028,10.9,0.0
002171.SZ,20251028,10.8,0.0
002171.SZ,20251028,10.7,0.0
002171.SZ,20251028,10.6,0.0
002171.SZ,20251028,10.5,0.0
002171.SZ,20251028,10.4,0.0
002171.SZ,20251028,10.3,0.01
002171.SZ,20251028,10.2,0.02
002171.SZ,20251028,10.1,0.03
002171.SZ,20251028,10.0,0.08
002171.SZ,20251028,9.9,0.12
002171.SZ,20251028,9.8,0.08
002171.SZ,20251028,9.7,0.07
002171.SZ,20251028,9.6,0.07
002171.SZ,20251028,9.5,0.07
002171.SZ,20251028,9.4,0.08
002171.SZ,20251028,9.3,0.03
002171.SZ,20251028,9.2,0.02
002171.SZ,20251028,9.1,0.01
002171.SZ,20251027,17.7,0.01
002171.SZ,20251027,17.6,0.01
002171.SZ,20251027,17.5,0.01
002171.SZ,20251027,17.4,0.01
002171.SZ,20251027,17.3,0.01
002171.SZ,20251027,17.2,0.01
002171.SZ,20251027,17.1,0.01
002171.SZ,20251027,17.0,0.01
002171.SZ,20251027,16.9,0.01
002171.SZ,20251027,16.8,0.01
002171.SZ,20251027,16.7,0.01
002171.SZ,20251027,16.6,0.01
002171.SZ,20251027,16.5,0.01
002171.SZ,20251027,16.4,0.01
002171.SZ,20251027,16.3,0.01
002171.SZ,20251027,16.2,0.01
002171.SZ,20251027,16.1,0.01
002171.SZ,20251027,16.0,0.01
002171.SZ,20251027,15.9,0.01
002171.SZ,20251027,15.8,0.01
002171.SZ,20251027,15.7,0.01
002171.SZ,20251027,15.6,0.01
002171.SZ,20251027,15.5,0.01
002171.SZ,20251027,15.4,0.01
002171.SZ,20251027,15.3,0.01
002171.SZ,20251027,15.2,0.01
002171.SZ,20251027,15.1,0.01
002171.SZ,20251027,15.0,0.01
002171.SZ,20251027,14.9,0.01
002171.SZ,20251027,14.8,0.01
002171.SZ,20251027,14.7,0.01
002171.SZ,20251027,14.6,0.01
002171.SZ,20251027,14.5,0.01
002171.SZ,20251027,14.4,0.01
002171.SZ,20251027,14.3,0.01
002171.SZ,20251027,14.2,0.01
002171.SZ,20251027,14.1,0.01
002171.SZ,20251027,14.0,0.01
002171.SZ,20251027,13.9,0.01
002171.SZ,20251027,13.8,0.01
002171.SZ,20251027,13.7,0.01
002171.SZ,20251027,13.6,0.01
002171.SZ,20251027,13.5,0.03
002171.SZ,20251027,13.4,0.17
002171.SZ,20251027,13.3,0.39
002171.SZ,20251027,13.2,1.29
002171.SZ,20251027,13.1,4.9
002171.SZ,20251027,13.0,9.15
002171.SZ,20251027,12.9,12.68
002171.SZ,20251027,12.8,11.56
002171.SZ,20251027,12.7,9.7
002171.SZ,20251027,12.6,7.8
002171.SZ,20251027,12.5,5.95
002171.SZ,20251027,12.4,6.0
002171.SZ,20251027,12.3,6.32
002171.SZ,20251027,12.2,6.54
002171.SZ,20251027,12.1,5.37
002171.SZ,20251027,12.0,3.95
002171.SZ,20251027,11.9,2.57
002171.SZ,20251027,11.8,1.49
002171.SZ,20251027,11.7,0.7
002171.SZ,20251027,11.6,0.39
002171.SZ,20251027,11.5,0.19
002171.SZ,20251027,11.4,0.11
002171.SZ,20251027,11.3,0.07
002171.SZ,20251027,11.2,0.01
002171.SZ,20251027,11.1,0.01
002171.SZ,20251027,11.0,0.01
002171.SZ,20251027,10.9,0.01
002171.SZ,20251027,10.8,0.01
002171.SZ,20251027,10.7,0.01
002171.SZ,20251027,10.6,0.01
002171.SZ,20251027,10.5,0.01
002171.SZ,20251027,10.4,0.01
002171.SZ,20251027,10.3,0.03
002171.SZ,20251027,10.2,0.04
002171.SZ,20251027,10.1,0.07
002171.SZ,20251027,10.0,0.18
002171.SZ,20251027,9.9,0.25
002171.SZ,20251027,9.8,0.17
002171.SZ,20251027,9.7,0.15
002171.SZ,20251027,9.6,0.16
002171.SZ,20251027,9.5,0.15
002171.SZ,20251027,9.4,0.17
002171.SZ,20251027,9.3,0.07
002171.SZ,20251027,9.2,0.04
002171.SZ,20251027,9.1,0.02
002171.SZ,20251027,9.0,0.01
002171.SZ,20251027,8.9,0.01
002171.SZ,20251027,8.8,0.01
002171.SZ,20251027,8.7,0.01
002171.SZ,20251027,8.6,0.01
002171.SZ,20251027,8.5,0.01
002171.SZ,20251027,8.4,0.01
002171.SZ,20251027,8.3,0.01
002171.SZ,20251027,8.2,0.01
002171.SZ,20251027,8.1,0.01
002171.SZ,20251027,8.0,0.01
002171.SZ,20251027,7.9,0.01
002171.SZ,20251027,7.8,0.01
002171.SZ,20251027,7.7,0.01
002171.SZ,20251027,7.6,0.01
002171.SZ,20251027,7.5,0.01
002171.SZ,20251027,7.4,0.01
002171.SZ,20251027,7.3,0.01
002171.SZ,20251027,7.2,0.01
002171.SZ,20251027,7.1,0.01
002171.SZ,20251027,7.0,0.01
002171.SZ,20251027,6.9,0.01
002171.SZ,20251027,6.8,0.01
002171.SZ,20251027,6.7,0.01
002171.SZ,20251027,6.6,0.01
002171.SZ,20251027,6.5,0.01
002171.SZ,20251027,6.4,0.01
002171.SZ,20251027,6.3,0.01
002171.SZ,20251027,6.2,0.01
002171.SZ,20251027,6.1,0.01
002171.SZ,20251027,6.0,0.01
002171.SZ,20251027,5.9,0.01
002171.SZ,20251027,5.8,0.01
002171.SZ,20251027,5.7,0.01
002171.SZ,20251027,5.6,0.01
002171.SZ,20251027,5.5,0.01
002171.SZ,20251027,5.4,0.01
002171.SZ,20251027,5.3,0.01
002171.SZ,20251027,5.2,0.01
002171.SZ,20251027,5.1,0.01
002171.SZ,20251027,5.0,0.01
002171.SZ,20251027,4.9,0.01
002171.SZ,20251027,4.8,0.01
002171.SZ,20251027,4.7,0.01
002171.SZ,20251027,4.6,0.01
002171.SZ,20251027,4.5,0.01
002171.SZ,20251027,4.4,0.01
002171.SZ,20251027,4.3,0.01
002171.SZ,20251027,4.2,0.01
002171.SZ,20251027,4.1,0.01
002171.SZ,20251027,4.0,0.01
002171.SZ,20251027,3.9,0.01
002171.SZ,20251027,3.8,0.01
002171.SZ,20251027,3.7,0.01
002171.SZ,20251027,3.6,0.01
002171.SZ,20251027,3.5,0.01
