kelly_weight	gain_loss_r	mean_slip_accurance	gain_loss_p	S_paths[0]	assets
1.0	-0.01534	0.847434	0.017762	13.48	14.12559
1.0	0.009644	0.910752	0.020604	13.61	14.261816
1.0	0.062454	0.832642	0.003863	14.46	15.152525
0.0	0.006224	0.808639	-0.038598	14.55	15.152525
0.0	0.101031	0.676108	-0.02619	16.02	15.152525
0.0	0.101124	0.479716	-0.072639	17.64	15.152525
0.0	-0.010771	0.491225	-0.096369	17.45	15.152525
0.0	-0.097421	0.513053	-0.043043	15.75	15.152525
0.119705	-0.029841	0.531523	0.052668	15.28	15.098398
0.6057	0.010471	0.668621	0.055678	15.44	15.194158
1.0	0.005181	0.769808	0.021823	15.52	15.272884
1.0	-0.024485	0.7972	0.00468	15.14	14.898935
1.0	0.019155	0.897685	0.017029	15.43	15.184317
0.0	0.01361	0.920667	-0.003924	15.64	15.184317
0.0	-0.038363	0.898628	-0.012115	15.04	15.184317
1.0	-0.019947	0.875954	0.019559	14.74	14.881438
1.0	-0.006784	0.848068	0.025538	14.64	14.780479
1.0	-0.020492	0.822843	0.018058	14.34	14.4776
1.0	-0.011158	0.818466	0.022455	14.18	14.316065
1.0	0.0	0.852892	0.018696	14.18	14.316065
1.0	0.042313	0.847066	0.008831	14.78	14.921822
0.0	0.028417	0.818404	-0.023741	15.2	14.921822
0.0	0.038816	0.76629	-0.032118	15.79	14.921822
0.0	-0.010133	0.777031	-0.041116	15.63	14.921822
0.0	0.060141	0.719051	-0.014266	16.57	14.921822
0.0	-0.013881	0.761695	-0.042613	16.34	14.921822
0.0	-0.015912	0.857453	-0.013302	16.08	14.921822
1.0	-0.014303	0.861375	0.005967	15.85	14.708388
1.0	0.016404	0.939368	0.014582	16.11	14.949661
0.0	-0.014898	0.953047	-0.002797	15.87	14.949661
1.0	0.017013	0.94599	0.007542	16.14	15.204003
0.0	0.008055	0.947941	-0.007119	16.27	15.204003
0.0	-0.028888	0.924996	-0.009692	15.8	15.204003
1.0	0.008861	0.941043	0.014558	15.94	15.338722
1.0	-0.011292	0.933014	0.002893	15.76	15.165512
1.0	0.044416	0.896698	0.008635	16.46	15.839107
0.0	-0.00243	0.899093	-0.024142	16.42	15.839107
0.0	-0.001827	0.905551	-0.012457	16.39	15.839107
0.0	0.010982	0.903788	-0.004544	16.57	15.839107
0.0	0.030779	0.881421	-0.008667	17.08	15.839107
0.0	-0.010539	0.902144	-0.024117	16.9	15.839107
0.0	-0.029586	0.88666	-0.005985	16.4	15.839107
1.0	-0.018902	0.850979	0.018452	16.09	15.53971
1.0	0.021753	0.91023	0.024166	16.44	15.877739
0.0	0.0	0.931392	-0.001863	16.44	15.877739
0.0	0.007908	0.938813	-0.002702	16.57	15.877739
0.0	-0.019916	0.959692	-0.007076	16.24	15.877739
1.0	0.014163	0.963475	0.009665	16.47	16.102609
0.0	-0.039466	0.90532	-0.003509	15.82	16.102609
1.0	0.065107	0.869702	0.024956	16.85	17.151009
0.0	0.0273	0.817458	-0.027617	17.31	17.151009
0.0	0.002311	0.794603	-0.034026	17.35	17.151009
0.0	0.022478	0.79183	-0.019413	17.74	17.151009
0.0	-0.007328	0.831431	-0.023009	17.61	17.151009
0.0	-0.010221	0.896138	-0.006323	17.43	17.151009
1.0	0.022949	0.907587	0.00499	17.83	17.544606
0.0	0.009534	0.92191	-0.01147	18.0	17.544606
0.0	0.017778	0.899871	-0.01283	18.32	17.544606
0.0	-0.021834	0.917521	-0.018186	17.92	17.544606
1.0	0.099888	0.794112	0.005394	19.71	19.297109
0.0	-0.008118	0.773134	-0.056676	19.55	19.297109
0.0	-0.01023	0.82042	-0.026487	19.35	19.297109
0.0	-0.015504	0.825755	-0.004902	19.05	19.297109
1.0	0.013123	0.916167	0.010233	19.3	19.550352
0.0	-0.002073	0.969089	-0.002159	19.26	19.550352
0.0	0.038941	0.920133	-0.000324	20.01	19.550352
0.0	-0.006497	0.91681	-0.025237	19.88	19.550352
0.0	-0.037223	0.888806	-0.009861	19.14	19.550352
1.0	-0.055904	0.764228	0.021561	18.07	18.457411
1.0	0.02767	0.806364	0.053384	18.57	18.968131
1.0	-0.00377	0.833898	0.010093	18.5	18.89663
1.0	0.03027	0.832376	0.004863	19.06	19.468636
0.0	0.018888	0.866138	-0.018432	19.42	19.468636
0.0	-0.023172	0.915323	-0.022996	18.97	19.468636
1.0	0.010543	0.926529	0.003638	19.17	19.673894
0.0	-0.011998	0.939238	-0.003296	18.94	19.673894
1.0	0.022175	0.955141	0.006499	19.36	20.110168
0.0	-0.010847	0.965077	-0.010783	19.15	20.110168
1.0	-0.013577	0.950118	0.000886	18.89	19.837132
1.0	-0.018528	0.915073	0.010186	18.54	19.469583
1.0	-0.000539	0.915325	0.018523	18.53	19.459082
1.0	0.075013	0.826676	0.010166	19.92	20.918775
0.0	-0.040663	0.873082	-0.042409	19.11	20.918775
1.0	0.099948	0.763548	0.002661	21.02	23.009558
0.0	0.099905	0.57736	-0.057186	23.12	23.009558
0.0	0.099913	0.430413	-0.089141	25.43	23.009558
0.0	0.099882	0.231121	-0.1	27.97	23.009558
0.0	-0.031105	0.318043	-0.1	27.1	23.009558
0.0	-0.1	0.415517	-0.032877	24.39	23.009558
0.0	-0.100041	0.329074	0.062026	21.95	23.009558
0.0	-0.006834	0.403947	0.1	21.8	23.009558
0.0	0.002752	0.476903	0.067239	21.86	23.009558
