kelly_weight	gain_loss_r	mean_slip_accurance	gain_loss_p	S_paths[0]	assets
1.00000   -0.02268  0.73978   0.00293   12.93000  13.21959  
1.00000   0.02475   0.83008   0.00674   13.25000  12.91982  
1.00000   -0.00755  0.87908   0.00228   13.15000  13.23957  
1.00000   -0.00076  0.92712   0.00077   13.14000  13.13965  
1.00000   -0.00761  0.96127   -0.00247  13.04000  13.12966  
0.00000   0.00613   0.96867   -0.00036  13.12000  13.02974  
0.00000   0.10137   0.97999   0.03388   14.45000  13.02974  
1.00000   -0.00277  0.83395   0.02819   14.41000  13.02974  
1.00000   -0.03747  0.75868   0.00579   13.87000  12.99367  
1.00000   -0.01298  0.80883   -0.00577  13.69000  12.50674  
0.00000   -0.01534  0.84282   -0.01259  13.48000  12.34444  
0.00000   0.00964   0.85136   -0.00692  13.61000  12.34444  
0.00000   0.06245   0.88598   0.01751   14.46000  12.34444  
1.00000   0.00622   0.83844   0.01921   14.55000  12.34444  
1.00000   0.10103   0.80896   0.04851   16.02000  12.42127  
0.70613   0.10112   0.67128   0.07292   17.64000  13.67620  
0.00000   -0.01077  0.48737   0.04759   17.45000  14.65277  
0.00000   -0.09742  0.46952   -0.00712  15.75000  14.65277  
0.00000   -0.02984  0.53665   -0.02705  15.28000  14.65277  
0.00000   0.01047   0.56711   -0.02193  15.44000  14.65277  
0.00000   0.00518   0.64829   -0.01169  15.52000  14.65277  
0.00000   -0.02448  0.75521   -0.01250  15.14000  14.65277  
0.00000   0.01915   0.81201   -0.00184  15.43000  14.65277  
0.00000   0.01361   0.88660   0.00527   15.64000  14.65277  
1.00000   -0.03836  0.91163   -0.00753  15.04000  14.65277  
0.00000   -0.01995  0.90233   -0.01420  14.74000  14.09065  
0.00000   -0.00678  0.86545   -0.01403  14.64000  14.09065  
0.00000   -0.02049  0.84676   -0.01626  14.34000  14.09065  
0.00000   -0.01116  0.82665   -0.01479  14.18000  14.09065  
0.00000   0.00000   0.82353   -0.00968  14.18000  14.09065  
0.00000   0.04231   0.85024   0.00866   14.78000  14.09065  
1.00000   0.02842   0.85271   0.01959   15.20000  14.09065  
1.00000   0.03882   0.81917   0.02916   15.79000  14.49106  
1.00000   -0.01013  0.75818   0.01759   15.63000  15.05354  
1.00000   0.06014   0.77162   0.02965   16.57000  14.90100  
1.00000   -0.01388  0.73163   0.01631   16.34000  15.79716  
1.00000   -0.01591  0.76580   0.00331   16.08000  15.57789  
1.00000   -0.01430  0.84535   -0.00586  15.85000  15.33001  
0.00000   0.01640   0.88157   -0.00101  16.11000  15.11074  
0.00000   -0.01490  0.92904   -0.00468  15.87000  15.11074  
0.00000   0.01701   0.94246   0.00221   16.14000  15.11074  
