代码,当前价,板块,总分,历史位置,近期涨幅,相对强度,资金流向,筹码分布,技术指标,热榜,RSI,量比,3日涨%,7日涨%,15日涨%,150日高距今天,当前/高点%,获利盘%,15日主力流入万
601789,,"{'ind_code': 'BK0016', 'ind_name': '建筑装饰'}",44.2,10.0,10.0,10.0,6.7,5.0,2.5,0.0,-,-,-,-,-,-,-,-,-20390.0
002298,,"{'ind_code': 'BK0093', 'ind_name': '电网设备'}",44.2,10.0,10.0,10.0,6.7,5.0,2.5,0.0,-,-,-,-,-,-,-,-,-20830.0
000537,,"{'ind_code': 'BK0045', 'ind_name': '电力'}",38.5,10.0,10.0,10.0,1.0,5.0,2.5,0.0,-,-,-,-,-,-,-,-,-50152.0
